id,nombre,calle,altura,direccion,telefonos,barrio,comuna,codigo_pos,geometry
61,Comisaría Vecinal 10-C,BASUALDO,165,BASUALDO 165,911,Villa Luro,10,C1408HUC,POINT (-58.50508483847855 -34.639965860505626)
62,Comisaría Vecinal 3-A (edificio anexo),"URQUIZA, GRAL.",544,"URQUIZA, GRAL. 544",911,Balvanera,3,C1221ADA,POINT (-58.40928216463775 -34.61705659478637)
63,Comisaría Vecinal 13-A,ARTILLEROS,2081,ARTILLEROS 2081,911,Belgrano,13,C1428AUE,POINT (-58.444131059406836 -34.55488835516263)
64,Comisaría Vecinal 8-C,"DIAZ, ANA",5899,"DIAZ, ANA 5899",911,Villa Lugano,8,C1439CRD,POINT (-58.468969318089265 -34.68309883885219)
65,Comisaria Vecinal 1-A (edificio anexo II),SUIPACHA,1156,SUIPACHA 1156,911,San Nicolas,1,C1008AAW,POINT (-58.38890886319144 -34.60192349060992)
66,Comisaria Vecinal 14-A (edificio anexo),"SCALABRINI ORTIZ, RAUL AV.",1350,"SCALABRINI ORTIZ, RAUL AV. 1350",911,Palermo,14,C1414DOA,POINT (-58.42760256512527 -34.59249343857936)
67,Comisaria Comunal 8,23 DE JUNIO,,"CABRERA, DELFO y 23 DE JUNIO",911,Villa Soldati,8,,POINT (-58.455378659756576 -34.67303346585819)
68,Comisaría Vecinal 3-A,LAVALLE,2625,LAVALLE 2625,911,Balvanera,3,C1052AAG,POINT (-58.40407720431502 -34.60329113019939)
69,Comisaría Comunal 3,REPUBLICA BOLIVARIANA DE VENEZUELA,1958,REPUBLICA BOLIVARIANA DE VENEZUELA 1931,911,Balvanera,3,C1096ABG,POINT (-58.39367592639254 -34.615008346785075)
70,Comisaría Comunal 14,REPUBLICA ARABE SIRIA,2961,REPUBLICA ARABE SIRIA 2961,911,Palermo,14,C1425EYI,POINT (-58.41366150581631 -34.58126954919628)
71,Comisaría Comunal 5,BILLINGHURST,471,BILLINGHURST 471,911,Almagro,5,C1174ABG,POINT (-58.415664541274616 -34.604406411773645)
72,Comisaría Comunal 1 Norte,CORRIENTES AV.,436,CORRIENTES AV. 436,911,San Nicolas,1,C1043AAE,POINT (-58.37272314184262 -34.60339778867843)
73,Comisaría Comunal 1 Sur,PERU,1050,PERU 1050,911,San Telmo,1,C1068AAK,POINT (-58.37400376134853 -34.62026507730856)
74,Comisaría Vecinal 3-C (anexo I),LAVALLE,1958,LAVALLE 1958,911,Balvanera,3,C1051ABC,POINT (-58.394768079033724 -34.60334522895158)
75,Comisaría Vecinal 14-A (edificio anexo II),SANTA FE AV.,4000,SANTA FE AV. 4000,911,Palermo,14,C1425BHB,POINT (-58.420124506242104 -34.58255196829385)
