id,tipo,nombre,geometry
14,Asentamiento precario,Asentamiento La Carbonilla,"POLYGON ((-58.465738363282696 -34.596677665070395, -58.46604852144214 -34.59772898803324, -58.466100160591395 -34.59779278078859, -58.46617682924677 -34.59788457073832, -58.46672612923438 -34.59808665538244, -58.46759734018849 -34.59841186128558, -58.46805180707427 -34.59857788634004, -58.46839126899855 -34.598707316812096, -58.46847629282351 -34.598699163087794, -58.469636767677315 -34.5990829485729, -58.4697860041138 -34.599041804302644, -58.47005131445012 -34.5989869413396, -58.470250300970925 -34.59899378623935, -58.47102139062236 -34.59919942202578, -58.47161007391017 -34.59935021692205, -58.47345074365149 -34.59969288123128, -58.47347559954652 -34.59954890167356, -58.47256353336975 -34.599178746482465, -58.47198312995274 -34.59892511451938, -58.47055702210552 -34.5984315704892, -58.46882414954394 -34.59770491754537, -58.46878269882895 -34.597766624071795, -58.46761365149195 -34.597341594459785, -58.46749758967941 -34.59756099285362, -58.467400689551646 -34.59768306094171, -58.46718322211163 -34.59761129797402, -58.46632804722924 -34.597277541552124, -58.46607035482325 -34.59710405622986, -58.46617980458621 -34.59680421723637, -58.4659950876664 -34.59670804693336, -58.46588562684802 -34.596668447542, -58.465736237837994 -34.59659546253448, -58.46573865789464 -34.59667335656645, -58.465738363282696 -34.596677665070395))"
15,Asentamiento precario,Asentamiento La Doña y El Buen Samaritano,"POLYGON ((-58.464034226256494 -34.65400638525264, -58.46429920963202 -34.65423039386745, -58.46444123244816 -34.65411151408782, -58.464780209525614 -34.65383578579379, -58.464576824386086 -34.653629021639624, -58.4645137427829 -34.65362355971202, -58.464034226256494 -34.65400638525264))"
16,Asentamiento precario,Asentamiento La Esperanza,"POLYGON ((-58.45666839087182 -34.659910025088244, -58.455652195240255 -34.66071858012044, -58.456102582659895 -34.66112180707764, -58.45624736758206 -34.66105535407817, -58.456550344705384 -34.660891432955026, -58.456772886860946 -34.66074301447004, -58.4571831227768 -34.66033762079577, -58.45666839087182 -34.659910025088244))"
17,Asentamiento precario,Asentamiento Portela,"POLYGON ((-58.45024493218581 -34.65651153618095, -58.45011546694335 -34.65641488130165, -58.44806731788246 -34.65803859570622, -58.44821471558322 -34.65814384340831, -58.449726941920225 -34.65692910655885, -58.45024493218581 -34.65651153618095))"
18,Asentamiento precario,Asentamiento Lamadrid,"POLYGON ((-58.35419421103773 -34.63612339452478, -58.35429708269537 -34.636188945390344, -58.35455527419946 -34.63567992999105, -58.353957490734466 -34.63545925875131, -58.353931558627245 -34.635231881985064, -58.354315002722615 -34.63459828786831, -58.35437805398374 -34.63445167470786, -58.35479323962289 -34.63376348810366, -58.354156751448464 -34.63349435147324, -58.353484291997646 -34.633209999019066, -58.35353210411256 -34.63411216206441, -58.35353636091815 -34.63426313120145, -58.353735858673886 -34.634996052784516, -58.353771181759946 -34.63523542097797, -58.353846426428355 -34.6356059490795, -58.35419421103773 -34.63612339452478))"
19,Asentamiento precario,Asentamiento Los Arcos,"POLYGON ((-58.37897182104225 -34.65423768215363, -58.38067983160277 -34.646816803382194, -58.38033441849401 -34.6468165688709, -58.37972072481645 -34.64938532128672, -58.37862653347532 -34.65408373190907, -58.37897182104225 -34.65423768215363))"
20,Asentamiento precario,Asentamiento Los Pinos,"POLYGON ((-58.45013576576985 -34.656627104039146, -58.45126813665017 -34.65756305808691, -58.45141267948641 -34.65744836041207, -58.45142956552817 -34.657435605047496, -58.45181248147775 -34.65714692242573, -58.451537955382726 -34.656924235885114, -58.451135716448086 -34.65659794990456, -58.451113593703944 -34.65658546632397, -58.45090038750907 -34.656407055183806, -58.45068609095732 -34.65623321884569, -58.45063160342614 -34.656232807714424, -58.450411433476475 -34.65640788971863, -58.450295432015565 -34.656496520669705, -58.45026326324367 -34.6565218034833, -58.45013576576985 -34.656627104039146))"
21,Asentamiento precario,Asentamiento Lujan,"POLYGON ((-58.37677782340077 -34.65682296398708, -58.3777687875206 -34.656990743782075, -58.37783720268198 -34.65671721237904, -58.37792790805222 -34.65640762237927, -58.37753937350249 -34.65631973257032, -58.37697433753688 -34.65619190461576, -58.37677782340077 -34.65682296398708))"
22,Asentamiento precario,Asentamiento Magaldi,"POLYGON ((-58.39145516785947 -34.659931291795914, -58.39124063213121 -34.65991984910919, -58.39117130487777 -34.66090805609591, -58.390947244789395 -34.66089557976295, -58.391074073477455 -34.66105482486408, -58.391126921542835 -34.66110046889381, -58.39137266603782 -34.66117436948146, -58.39137656522872 -34.66108922968253, -58.39143191413425 -34.6604291741285, -58.39145516785947 -34.659931291795914))"
23,Asentamiento precario,Asentamiento Maria Auxiliadora,"POLYGON ((-58.485566421974255 -34.6823163528621, -58.487134603506846 -34.68269407859278, -58.48716484980959 -34.68263417049304, -58.48716434458803 -34.68257582826972, -58.487181108766926 -34.682522690516656, -58.483615140707876 -34.681683697876565, -58.483587544141216 -34.68173257479555, -58.483493576854414 -34.6817601220534, -58.48345361930177 -34.68180537493144, -58.485566421974255 -34.6823163528621))"
24,Asentamiento precario,Asentamiento Matanza y Ferre,"POLYGON ((-58.4235465880716 -34.658966660757386, -58.4232768024646 -34.659211687061614, -58.42382945398154 -34.65956839747957, -58.424072256477935 -34.6593567860005, -58.4235465880716 -34.658966660757386))"
